Variable,OR,CI_lower,CI_upper,p_value
cc_cat21,1.45,1.04,2.01,0.0273
cc_cat22,1.62,0.83,3.15,0.154
cc_cat23+,2.41,1.21,4.78,0.012
agegrp2,0.72,0.4,1.29,0.267
agegrp3,0.75,0.43,1.32,0.319
agegrp4,1.3,0.6,2.79,0.504
agegrp5,1.25,0.68,2.29,0.467
agegrp6,1.81,0.97,3.38,0.062
agegrp7,1.11,0.59,2.11,0.739
agegrp8,1.79,0.92,3.48,0.0866
agegrp9,4.55,2.14,9.71,8.83e-5
agegrp10,4.39,2.14,9,5.59e-5
agegrp11,3.97,1.94,8.1,1.58e-4
agegrp12,2.72,1,7.43,0.0504
agegrp13,5.18,2.02,13.24,6.11e-4
agegrp14,2.78,1.06,7.32,0.038
sex2,1.88,1.4,2.51,2.14e-5
race2,1.45,0.88,2.41,0.148
race3,5.45,1.23,24.19,0.0259
race4,2.22,1.01,4.88,0.0465
race5,1.02,0.38,2.72,0.972
race6,0.46,0.08,2.52,0.368
race7,1.11,0.45,2.76,0.818
race8,1.17,0.74,1.85,0.496
race9,0.99,0.38,2.59,0.977
educ2,1.44,0.81,2.56,0.211
educ3,1.72,0.94,3.15,0.0771
educ4,1.8,1.01,3.21,0.0479
educ9,1.18,0.18,7.9,0.865
income2,1.34,0.59,3.05,0.486
income3,1,0.49,2.03,0.99
income4,1.3,0.62,2.71,0.491
income5,1.59,0.8,3.15,0.187
income6,1.75,0.88,3.49,0.111
income7,1.7,0.75,3.89,0.207
income9,2.24,1.07,4.67,0.0319
insuredUninsured,0.33,0.2,0.53,7.21e-6
