Variable,OR,CI_lower,CI_upper,p_value,outcome,subgroup
1 chronic condition,2.78,1.7,4.54,4.6e-5,Routine Care,Male
2 chronic conditions,2.3,1.01,5.25,0.0479,Routine Care,Male
≥3 chronic conditions,3.13,0.89,11,0.0754,Routine Care,Male
Age 18 to 24,0.15,0.05,0.47,0.00101,Routine Care,Male
Age 25 to 29,0.13,0.04,0.37,1.82e-4,Routine Care,Male
Age 30 to 34,0.14,0.04,0.41,4.17e-4,Routine Care,Male
Age 35 to 39,0.19,0.07,0.54,0.0021,Routine Care,Male
Age 40 to 44,0.28,0.1,0.84,0.0224,Routine Care,Male
Age 45 to 49,0.6,0.18,1.98,0.399,Routine Care,Male
Age 50 to 54,0.23,0.07,0.72,0.0113,Routine Care,Male
Age 55 to 59,0.66,0.21,2.07,0.472,Routine Care,Male
Age 65 to 69,0.94,0.27,3.23,0.924,Routine Care,Male
Age 70 to 74,0.83,0.22,3.11,0.788,Routine Care,Male
Age 75 to 79,0.82,0.13,5.22,0.831,Routine Care,Male
Age 80 or older,0.58,0.12,2.81,0.5,Routine Care,Male
"Black only, non-Hispanic",0.57,0.3,1.1,0.094,Routine Care,Male
"American Indian or Alaskan Native only, Non-Hispanic",5.2,0.72,37.66,0.103,Routine Care,Male
"Asian only, non-Hispanic",2.4,0.79,7.26,0.122,Routine Care,Male
"Native Hawaiian or other Pacific Islander only, Non-Hispanic",0.76,0.16,3.61,0.728,Routine Care,Male
"Other race only, non-Hispanic",1.96,0.23,16.95,0.543,Routine Care,Male
"Multiracial, non-Hispanic",0.67,0.16,2.75,0.574,Routine Care,Male
Hispanic,1.11,0.55,2.23,0.769,Routine Care,Male
Did not graduate High School,0.23,0.11,0.49,1.63e-4,Routine Care,Male
Graduated High School,0.91,0.52,1.6,0.737,Routine Care,Male
Attended College or Technical School,1.51,0.89,2.55,0.126,Routine Care,Male
"Less than $15,000",1.19,0.39,3.64,0.759,Routine Care,Male
"$15,000 to < $25,000",0.41,0.16,1.03,0.0592,Routine Care,Male
"$25,000 to < $35,000",0.87,0.37,2.06,0.755,Routine Care,Male
"$35,000 to < $50,000",1.01,0.5,2.04,0.984,Routine Care,Male
"$100,000 to < $200,000",1.07,0.61,1.87,0.811,Routine Care,Male
"$200,000 or more",0.78,0.37,1.68,0.529,Routine Care,Male
Uninsured,0.17,0.09,0.32,4.22e-8,Routine Care,Male
1 chronic condition,3.99,2.09,7.61,2.91e-5,Cost Barrier,Male
2 chronic conditions,3.39,1.49,7.71,0.00363,Cost Barrier,Male
≥3 chronic conditions,10.77,1.92,60.31,0.00692,Cost Barrier,Male
Age 18 to 24,4.52,1.39,14.63,0.0121,Cost Barrier,Male
Age 25 to 29,8.4,2.48,28.41,6.42e-4,Cost Barrier,Male
Age 30 to 34,2.8,0.74,10.68,0.131,Cost Barrier,Male
Age 35 to 39,10.69,2.9,39.41,3.84e-4,Cost Barrier,Male
Age 40 to 44,8.14,2.46,26.93,6.06e-4,Cost Barrier,Male
Age 45 to 49,3.55,0.54,23.12,0.186,Cost Barrier,Male
Age 50 to 54,0.45,0.09,2.15,0.315,Cost Barrier,Male
Age 55 to 59,1,0.23,4.4,0.997,Cost Barrier,Male
Age 65 to 69,1.02,0.22,4.7,0.978,Cost Barrier,Male
Age 70 to 74,1.06,0.23,4.96,0.939,Cost Barrier,Male
Age 75 to 79,0.01,0,0.1,9.41e-5,Cost Barrier,Male
Age 80 or older,0,0,0,1.0699999999999998e-120,Cost Barrier,Male
"Black only, non-Hispanic",3.31,1.48,7.39,0.00352,Cost Barrier,Male
"American Indian or Alaskan Native only, Non-Hispanic",0.04,0,0.31,0.00246,Cost Barrier,Male
"Asian only, non-Hispanic",0.21,0.03,1.34,0.0996,Cost Barrier,Male
"Native Hawaiian or other Pacific Islander only, Non-Hispanic",2.24,0.29,17.16,0.437,Cost Barrier,Male
"Other race only, non-Hispanic",0,0,0,1.81e-47,Cost Barrier,Male
"Multiracial, non-Hispanic",13.05,2.86,59.66,9.46e-4,Cost Barrier,Male
Hispanic,1.89,0.95,3.78,0.0714,Cost Barrier,Male
Did not graduate High School,1.67,0.38,7.37,0.501,Cost Barrier,Male
Graduated High School,1.38,0.64,2.98,0.417,Cost Barrier,Male
Attended College or Technical School,1.32,0.6,2.91,0.49,Cost Barrier,Male
"Less than $15,000",6.81,2.54,18.22,1.41e-4,Cost Barrier,Male
"$15,000 to < $25,000",3.29,1.28,8.43,0.0133,Cost Barrier,Male
"$25,000 to < $35,000",1.92,0.64,5.75,0.246,Cost Barrier,Male
"$35,000 to < $50,000",2.68,1.27,5.68,0.0101,Cost Barrier,Male
"$100,000 to < $200,000",0.89,0.3,2.67,0.842,Cost Barrier,Male
"$200,000 or more",0.78,0.09,6.43,0.814,Cost Barrier,Male
Uninsured,3.81,1.68,8.63,0.00141,Cost Barrier,Male
